name,categories,lat,lng,city,id,url,yelp_link,rating,reviews
Subway,sandwich place,37.764566764802595,-122.24280116020611,Alameda,4b590df8f964a5205f7a28e3,https://www.grubhub.com/restaurant/subway-1407-park-st-alameda/634373?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=634373,https://www.yelp.com/biz/subway-alameda,2.5 star rating,36 reviews
Pappo,new american restaurant,37.764314493147566,-122.24328639650444,Alameda,4b00b04df964a5209e4022e3,,https://www.yelp.com/biz/pappo-alameda,4 star rating,391 reviews
The Beanery,café,37.7679139961866,-122.23960182584192,Alameda,4b5c9406f964a520a93729e3,https://www.grubhub.com/restaurant/the-beanery-1650-park-st-alameda/550366?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=550366,https://www.yelp.com/biz/the-beanery-alameda,4 star rating,216 reviews
Tomatina,italian restaurant,37.76357454475608,-122.24336716079213,Alameda,4b1ac6c2f964a52089f123e3,,https://www.yelp.com/biz/tomatina-alameda,3 star rating,706 reviews
Yellowtail Japanese Bistro,japanese restaurant,37.7631384873647,-122.24303711898942,Alameda,4c37fc302c8020a19b298a00,https://www.grubhub.com/restaurant/yellowtail-japanese-bistro-1332-c-park-st-alameda/548762?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=548762,https://www.yelp.com/biz/yellowtail-japanese-bistro-alameda,4 star rating,446 reviews
Jack in the Box,fast food restaurant,37.762420047480994,-122.24472150206566,Alameda,4ae7addbf964a5204fad21e3,https://www.grubhub.com/restaurant/jack-in-the-box-1257-park-st-alameda/611218?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=611218,https://www.yelp.com/biz/jack-in-the-box-alameda,2.5 star rating,67 reviews
Subway,sandwich place,37.757094,-122.25238809325407,Alameda,4e3c2cb9fa76455375a693a3,https://www.grubhub.com/restaurant/subway-2212-s-shore-ctr-spc-720-alameda/793154?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=793154,https://www.yelp.com/biz/subway-alameda,2.5 star rating,36 reviews
Homeroom Racing Cafe,thai restaurant,37.76285492265543,-122.24417774280579,Alameda,4adbc019f964a520692a21e3,,https://www.yelp.com/biz/homeroom-racing-cafe-alameda,4.5 star rating,150 reviews
Original Red Onion,american restaurant,37.761427231630556,-122.24499281152494,Alameda,4f0f564ce4b0e77e3fbb2f4f,,https://www.yelp.com/biz/original-red-onion-alameda,[],[]
Gim's Chinese Kitchen,chinese restaurant,37.766686694741786,-122.24157392711466,Alameda,4bbac61998c7ef3b7c813302,https://www.grubhub.com/restaurant/gims-chinese-kitchen-2322-lincoln-ave-alameda/312832?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=312832,https://www.yelp.com/biz/gims-chinese-kitchen-alameda,3 star rating,173 reviews
