,Hospital,Hospital Latitude,Hospital Longitude,Venue City,Venue,Venue Latitude,Venue Longitude,Venue Category,yelp_link,rating,reviews
64,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Opa Cafe,37.78400071287919,-122.44149386557751,Café,https://www.yelp.com/biz/opa-cafe-san-francisco,4.5,305 
65,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Tataki,37.78802706011671,-122.44097917503802,Sushi Restaurant,https://www.yelp.com/biz/tataki-san-francisco,4,1282 
66,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Godzila Sushi,37.786269023681065,-122.44004734708645,Sushi Restaurant,https://www.yelp.com/biz/godzila-sushi-san-francisco,3.5,477 
67,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Jane the Bakery,37.78379748921064,-122.43428254305587,Bakery,https://www.yelp.com/biz/jane-the-bakery-san-francisco,4,305 
68,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,I Forgot It's Wednesday,37.78796268066702,-122.4412751197815,American Restaurant,https://www.yelp.com/biz/i-forgot-its-wednesday-san-francisco,5 star rating,3 reviews
69,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Presidio Pizza Company,37.78704621329396,-122.44015790643417,Pizza Place,https://www.yelp.com/biz/presidio-pizza-company-san-francisco,3.5,356 
70,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,La Boulangerie de San Francisco,37.78789193827142,-122.43398536164692,Bakery,https://www.yelp.com/biz/la-boulangerie-de-san-francisco-san-francisco,4.5,759 
71,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Out The Door,37.786998352463286,-122.4340120335097,Vietnamese Restaurant,https://www.yelp.com/biz/out-the-door-san-francisco,3.5,722 
72,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Roam Artisan Burgers,37.787686,-122.433753,Burger Joint,https://www.yelp.com/biz/roam-artisan-burgers-san-francisco,4,1534 
73,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Sweet Lime Thai Cuisine,37.785874272359976,-122.43495736371717,Asian Restaurant,https://www.yelp.com/biz/sweet-lime-thai-cuisine-san-francisco,4,481 
74,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,My Ivy,37.787185685279844,-122.44034982883637,Thai Restaurant,https://www.yelp.com/biz/my-ivy-san-francisco,3.5,338 
75,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Pizzeria Delfina,37.7889177627653,-122.43430656653575,Pizza Place,https://www.yelp.com/biz/pizzeria-delfina-san-francisco,4,2291 
76,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,The Progress,37.78374466115743,-122.43297199831427,American Restaurant,https://www.yelp.com/biz/the-progress-san-francisco,4,890 
77,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,State Bird Provisions,37.78374261088443,-122.43287398277053,New American Restaurant,https://www.yelp.com/biz/state-bird-provisions-san-francisco,4,2768 
78,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Eliza's Restaurant,37.78779,-122.441574,Chinese Restaurant,https://www.yelp.com/biz/elizas-restaurant-san-francisco,[],[]
79,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Woodhouse Fish Co.,37.787487151946856,-122.43352109917046,Seafood Restaurant,https://www.yelp.com/biz/woodhouse-fish-co.-san-francisco,4 star rating,2240 reviews
80,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Dosa,37.785312982088094,-122.43285890464635,Indian Restaurant,https://www.yelp.com/biz/dosa-san-francisco,4,2301 
